probability p,quantile(p)
0.00001,-4.264890794
0.00002,-4.107479655
0.00003,-4.012810811
0.00004,-3.944400084
0.00005,-3.890591886
0.00006,-3.846126145
0.00007,-3.808168264
0.00008,-3.775011939
0.00009,-3.745548593
0.0001,-3.719016485
0.00011,-3.694869212
0.00012,-3.672701257
0.00013,-3.652203217
0.00014,-3.633133551
0.00015,-3.615300007
0.00016,-3.598547021
0.00017,-3.582746902
0.00018,-3.567793526
0.00019,-3.553597714
0.0002,-3.540083799
0.00021,-3.527187011
0.00022,-3.514851473
0.00023,-3.50302864
0.00024,-3.491676063
0.00025,-3.480756404
0.00026,-3.470236645
0.00027,-3.460087443
0.00028,-3.450282601
0.00029,-3.440798635
0.0003,-3.431614404
0.00031,-3.422710813
0.00032,-3.414070554
0.00033,-3.405677888
0.00034,-3.39751846
0.00035,-3.389579141
0.00036,-3.381847893
0.00037,-3.374313649
0.00038,-3.36696621
0.00039,-3.359796159
0.0004,-3.352794781
0.00041,-3.345953993
0.00042,-3.339266289
0.00043,-3.33272468
0.00044,-3.32632265
0.00045,-3.320054117
0.00046,-3.313913389
0.00047,-3.307895137
0.00048,-3.301994361
0.00049,-3.296206365
0.0005,-3.290526731
0.00051,-3.284951301
0.00052,-3.279476151
0.00053,-3.27409758
0.00054,-3.26881209
0.00055,-3.26361637
0.00056,-3.258507287
0.00057,-3.253481869
0.00058,-3.248537298
0.00059,-3.243670896
0.0006,-3.238880118
0.00061,-3.234162544
0.00062,-3.229515868
0.00063,-3.224937893
0.00064,-3.220426524
0.00065,-3.215979761
0.00066,-3.211595695
0.00067,-3.2072725
0.00068,-3.20300843
0.00069,-3.198801815
0.0007,-3.194651054
0.00071,-3.190554614
0.00072,-3.186511024
0.00073,-3.182518873
0.00074,-3.178576808
0.00075,-3.174683527
0.00076,-3.170837781
0.00077,-3.167038365
0.00078,-3.163284125
0.00079,-3.159573947
0.0008,-3.155906758
0.00081,-3.152281526
0.00082,-3.148697254
0.00083,-3.145152983
0.00084,-3.141647786
0.00085,-3.138180768
0.00086,-3.134751067
0.00087,-3.131357847
0.00088,-3.128000303
0.00089,-3.124677655
0.0009,-3.121389149
0.00091,-3.118134057
0.00092,-3.114911671
0.00093,-3.111721309
0.00094,-3.108562308
0.00095,-3.105434027
0.00096,-3.102335844
0.00097,-3.099267157
0.00098,-3.09622738
0.00099,-3.093215947
0.001,-3.090232306
0.00101,-3.087275924
0.00102,-3.084346282
0.00103,-3.081442875
0.00104,-3.078565214
0.00105,-3.075712822
0.00106,-3.072885238
0.00107,-3.07008201
0.00108,-3.067302702
0.00109,-3.064546887
0.0011,-3.061814152
0.00111,-3.059104092
0.00112,-3.056416314
0.00113,-3.053750437
0.00114,-3.051106088
0.00115,-3.048482903
0.00116,-3.045880529
0.00117,-3.04329862
0.00118,-3.040736841
0.00119,-3.038194863
0.0012,-3.035672367
0.00121,-3.033169039
0.00122,-3.030684577
0.00123,-3.028218682
0.00124,-3.025771064
0.00125,-3.02334144
0.00126,-3.020929532
0.00127,-3.018535072
0.00128,-3.016157794
0.00129,-3.01379744
0.0013,-3.011453758
0.00131,-3.009126503
0.00132,-3.006815431
0.00133,-3.004520309
0.00134,-3.002240904
0.00135,-2.999976993
0.00136,-2.997728353
0.00137,-2.99549477
0.00138,-2.993276032
0.00139,-2.991071932
0.0014,-2.988882267
0.00141,-2.98670684
0.00142,-2.984545457
0.00143,-2.982397926
0.00144,-2.980264063
0.00145,-2.978143684
0.00146,-2.976036611
0.00147,-2.973942669
0.00148,-2.971861686
0.00149,-2.969793493
0.0015,-2.967737925
0.00151,-2.965694822
0.00152,-2.963664023
0.00153,-2.961645374
0.00154,-2.959638722
0.00155,-2.957643917
0.00156,-2.955660812
0.00157,-2.953689264
0.00158,-2.95172913
0.00159,-2.949780271
0.0016,-2.947842552
0.00161,-2.945915839
0.00162,-2.944
0.00163,-2.942094906
0.00164,-2.94020043
0.00165,-2.938316449
0.00166,-2.936442839
0.00167,-2.934579481
0.00168,-2.932726257
0.00169,-2.930883051
0.0017,-2.929049749
0.00171,-2.927226239
0.00172,-2.92541241
0.00173,-2.923608156
0.00174,-2.921813369
0.00175,-2.920027944
0.00176,-2.91825178
0.00177,-2.916484775
0.00178,-2.914726829
0.00179,-2.912977845
0.0018,-2.911237726
0.00181,-2.909506378
0.00182,-2.907783708
0.00183,-2.906069625
0.00184,-2.904364037
0.00185,-2.902666856
0.00186,-2.900977995
0.00187,-2.899297369
0.00188,-2.897624891
0.00189,-2.89596048
0.0019,-2.894304053
0.00191,-2.892655529
0.00192,-2.89101483
0.00193,-2.889381875
0.00194,-2.88775659
0.00195,-2.886138896
0.00196,-2.884528721
0.00197,-2.882925989
0.00198,-2.88133063
0.00199,-2.87974257
0.002,-2.878161739
0.00201,-2.876588069
0.00202,-2.87502149
0.00203,-2.873461935
0.00204,-2.871909338
0.00205,-2.870363633
0.00206,-2.868824756
0.00207,-2.867292643
0.00208,-2.865767231
0.00209,-2.864248458
0.0021,-2.862736264
0.00211,-2.861230587
0.00212,-2.859731369
0.00213,-2.858238552
0.00214,-2.856752077
0.00215,-2.855271888
0.00216,-2.853797928
0.00217,-2.852330143
0.00218,-2.850868477
0.00219,-2.849412876
0.0022,-2.847963287
0.00221,-2.846519659
0.00222,-2.845081939
0.00223,-2.843650075
0.00224,-2.842224018
0.00225,-2.840803718
0.00226,-2.839389125
0.00227,-2.837980192
0.00228,-2.836576869
0.00229,-2.835179111
0.0023,-2.83378687
0.00231,-2.8324001
0.00232,-2.831018756
0.00233,-2.829642793
0.00234,-2.828272167
0.00235,-2.826906833
0.00236,-2.825546748
0.00237,-2.824191871
0.00238,-2.822842158
0.00239,-2.821497568
